#tp_osd_tp,bstore_aio,bstore_kv_sync,bstore_kv_final,rocksdb:high,rocksdb:low,OpHistorySvc,log,bstore_mempool,safe_timer,admin_socket,ceph_timer,osd_srv_heartbt,ceph-osd,service,ms_dispatch,signal_handler,io_context_pool,fn_anonymous,cfin,ms_local,finisher,osd_srv_agent
421.50,39.90,26.60,24.30,5.30,0.00,3.70,1.70,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
404.40,38.10,26.80,23.50,0.70,0.00,3.30,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
412.30,41.10,26.20,23.50,7.00,0.00,4.00,1.70,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
417.20,40.70,29.10,24.20,2.30,0.00,3.60,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
395.70,37.90,24.90,23.30,5.30,11.60,3.70,1.70,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
415.70,40.00,27.20,24.20,24.50,13.20,4.00,1.30,1.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
441.80,40.70,27.50,24.80,5.60,0.00,3.00,1.70,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
412.60,38.50,28.20,24.30,3.00,0.00,4.00,1.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
418.90,40.10,27.80,24.20,5.00,0.00,4.00,1.70,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
440.40,42.10,32.80,24.50,2.60,0.00,3.60,1.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
414.40,38.70,29.10,23.50,20.20,0.00,3.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
417.60,38.90,25.60,23.60,9.00,26.60,3.70,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
445.10,41.40,27.80,24.20,5.30,10.60,3.60,1.30,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
431.20,40.40,26.50,23.80,2.60,1.00,3.30,1.70,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
423.90,40.20,27.90,23.90,2.70,0.00,4.00,1.70,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
438.90,42.10,26.80,24.20,5.30,0.00,3.60,1.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
416.60,39.40,26.50,23.80,23.50,14.60,3.60,1.70,1.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
418.10,41.70,26.20,23.20,6.00,0.00,3.60,1.70,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
429.60,40.20,27.90,23.30,3.00,0.00,3.70,2.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
