#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
64.60,52.00,23.00,0.00,0.00,0.00,0.00,0.00
64.10,50.80,22.20,0.00,0.00,0.00,0.00,0.00
65.00,51.30,22.60,0.00,0.00,0.00,0.00,0.00
64.80,51.80,23.30,0.00,0.00,0.00,0.00,0.00
65.00,51.30,23.00,0.00,0.00,0.00,0.00,0.00
65.80,52.20,22.60,0.00,0.00,0.00,0.00,0.00
64.00,51.30,22.60,0.00,0.00,0.00,0.00,0.00
63.20,49.80,23.20,0.00,0.00,0.00,0.00,0.00
63.40,50.70,22.60,0.00,0.00,0.00,0.00,0.00
65.70,52.00,22.30,0.00,0.00,0.00,0.00,0.00
64.40,51.50,23.60,0.00,0.00,0.00,0.00,0.00
65.40,51.70,22.30,0.00,0.00,0.00,0.00,0.00
64.50,51.50,22.20,0.00,0.00,0.00,0.00,0.00
63.70,50.70,22.30,0.00,0.00,0.00,0.00,0.00
64.80,51.50,22.60,0.00,0.00,0.00,0.00,0.00
64.30,51.00,22.60,0.00,0.00,0.00,0.00,0.00
64.10,51.20,22.60,0.00,0.00,0.00,0.00,0.00
43.80,31.20,12.50,0.00,0.00,0.00,0.00,0.00
59.40,48.00,20.60,0.00,0.00,0.00,0.00,0.00
60.60,48.70,21.00,0.00,0.00,0.00,0.00,0.00
60.80,48.50,21.60,0.00,0.00,0.00,0.00,0.00
60.00,48.30,20.70,0.00,0.00,0.00,0.00,0.00
62.40,49.80,22.20,0.00,0.00,0.00,0.00,0.00
60.00,48.30,21.00,0.00,0.00,0.00,0.00,0.00
59.40,47.70,20.70,0.00,0.00,0.00,0.00,0.00
60.40,48.20,20.60,0.00,0.00,0.00,0.00,0.00
59.00,47.30,22.30,0.00,0.00,0.00,0.00,0.00
61.50,49.20,21.50,0.00,0.00,0.00,0.00,0.00
60.30,48.70,21.30,0.00,0.00,0.00,0.00,0.00
60.30,48.30,21.30,0.00,0.00,0.00,0.00,0.00
62.10,49.50,21.30,0.00,0.00,0.00,0.00,0.00
60.60,48.70,21.00,0.00,0.00,0.00,0.00,0.00
61.50,49.80,21.30,0.00,0.00,0.00,0.00,0.00
60.30,48.00,21.00,0.00,0.00,0.00,0.00,0.00
62.00,49.70,22.00,0.00,0.00,0.00,0.00,0.00
61.80,49.80,21.60,0.00,0.00,0.00,0.00,0.00
61.70,49.70,21.30,0.00,0.00,0.00,0.00,0.00
60.80,48.80,20.90,0.00,0.00,0.00,0.00,0.00
58.70,47.00,20.60,0.00,0.00,0.00,0.00,0.00
59.40,47.70,22.30,0.00,0.00,0.00,0.00,0.00
60.40,48.20,21.20,0.00,0.00,0.00,0.00,0.00
60.60,49.00,21.00,0.00,0.00,0.00,0.00,0.00
61.20,49.50,21.20,0.00,0.00,0.00,0.00,0.00
59.70,47.70,20.30,0.00,0.00,0.00,0.00,0.00
61.00,48.30,21.00,0.00,0.00,0.00,0.00,0.00
61.50,49.50,21.30,0.00,0.00,0.00,0.00,0.00
62.00,49.70,22.40,0.00,0.00,0.00,0.00,0.00
